,Course,URL,CourseDescription,Department
0,AIT 580,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+580,"Course provides an overview of Big Data and its use in commercial, scientific, governmental and other applications. Topics include technical and non-technical disciplines required to collect, process and use enormous amounts of data available from numerous sources. Lectures cover system acquisition, law and policy, and ethical issues. It includes brief discussions of technologies involved in collecting, mining, analyzing and using results. Offered by Info Sciences & Technology. May not be repeated for credit.",AIT
1,CS 504,http://catalog.gmu.edu/search/?scontext=courses&search=CS+504,"Techniques to store, manage, and use data including databases, relational model, schemas, queries and transactions. On Line Transaction Processing, Data Warehousing, star schema, On Line Analytical Processing. MOLAP, HOLAP, and hybrid systems. Overview of Data Mining principles, models, supervised and unsupervised learning, pattern finding. Massively parallel architectures and Hadoop. Notes: This course cannot be taken for credit by students of the MS CS, MS ISA, MS SWE, CS PhD or IT PhD programs. Offered by Computer Science. May not be repeated for credit.",CS
2,CS 584,http://catalog.gmu.edu/search/?scontext=courses&search=CS+584,"Concepts and techniques in data mining and multidisciplinary applications. Topics include databases; data cleaning and transformation; concept description; association and correlation rules; data classification and predictive modeling; performance analysis and scalability; data mining in advanced database systems, including text, audio, and images; and emerging themes and future challenges. Offered by Computer Science. May not be repeated for credit. Equivalent to CS 659, CS 750.",CS
3,DAEN 690,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+690,Capstone project course for MS in Data Analytics program. Key activity is completion of a major applied team project resulting in an acceptable technical report and oral briefing. Student should plan to take this course in the last semester of studies. Offered by Volgenau School of Engineering. May not be repeated for credit.,DAEN
4,OR 531,http://catalog.gmu.edu/search/?scontext=courses&search=OR+531,"Course focus is predominantly on prescriptive analytics with some parts focused on predictive analytics. Topics include operations research techniques and their application to decision making such as mathematical optimization, networks modeling, stochastic modeling, and multi-objective modeling. Other topics such as PERT, CPM, computer simulation, decision analysis using decision trees and quantitative value functions, and heuristic methods are covered, as well as use of contemporary computer software for problem solving. In particular, the course will extensively use MS Excel for solving the decision making problems. Case-study approach to problem solving is used. Notes: Cannot be used for credit for the PhD IT program. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",OR
5,STAT 515,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+515,"Introduces multivariate regression and random forests for modeling data. Addresses data access, variable selection and model diagnostics. Introduces foundations for visual thinking. Reviews common statistical graphics such as dot plots, box plots, q-q plots. Addresses more advanced methods such as scatterplot matrices enhanced by smoothed or density contours, and search tools for finding graphics with suggestive patterns. Notes: Course will introduce R software for analysis. A final project will involve visualization of a real data set. Offered by Statistics. May not be repeated for credit.",STAT
6,STAT 554,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+554,"Application of basic statistical techniques. Focus is on the problem (data analysis) rather than on the theory. Topics include descriptive statistics; exploratory data analysis; sampling distributions; one- and two-sample tests and confidence intervals for means, medians, proportions, and variances; and goodness-of-fit tests. Normal theory is introduced first with discussion of what happens when assumptions break down. Alternative robust and nonparametric techniques are presented. Notes: Certificate program students granted credit for only one of STAT 535 or 554. Offered by Statistics. May not be repeated for credit.",STAT
7,CS 504,http://catalog.gmu.edu/search/?scontext=courses&search=CS+504,"Techniques to store, manage, and use data including databases, relational model, schemas, queries and transactions. On Line Transaction Processing, Data Warehousing, star schema, On Line Analytical Processing. MOLAP, HOLAP, and hybrid systems. Overview of Data Mining principles, models, supervised and unsupervised learning, pattern finding. Massively parallel architectures and Hadoop. Notes: This course cannot be taken for credit by students of the MS CS, MS ISA, MS SWE, CS PhD or IT PhD programs. Offered by Computer Science. May not be repeated for credit.",CS
8,CS 584,http://catalog.gmu.edu/search/?scontext=courses&search=CS+584,"Concepts and techniques in data mining and multidisciplinary applications. Topics include databases; data cleaning and transformation; concept description; association and correlation rules; data classification and predictive modeling; performance analysis and scalability; data mining in advanced database systems, including text, audio, and images; and emerging themes and future challenges. Offered by Computer Science. May not be repeated for credit. Equivalent to CS 659, CS 750.",CS
9,STAT 515,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+515,"Introduces multivariate regression and random forests for modeling data. Addresses data access, variable selection and model diagnostics. Introduces foundations for visual thinking. Reviews common statistical graphics such as dot plots, box plots, q-q plots. Addresses more advanced methods such as scatterplot matrices enhanced by smoothed or density contours, and search tools for finding graphics with suggestive patterns. Notes: Course will introduce R software for analysis. A final project will involve visualization of a real data set. Offered by Statistics. May not be repeated for credit.",STAT
10,STAT 554,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+554,"Application of basic statistical techniques. Focus is on the problem (data analysis) rather than on the theory. Topics include descriptive statistics; exploratory data analysis; sampling distributions; one- and two-sample tests and confidence intervals for means, medians, proportions, and variances; and goodness-of-fit tests. Normal theory is introduced first with discussion of what happens when assumptions break down. Alternative robust and nonparametric techniques are presented. Notes: Certificate program students granted credit for only one of STAT 535 or 554. Offered by Statistics. May not be repeated for credit.",STAT
11,IT 106,http://catalog.gmu.edu/search/?scontext=courses&search=IT+106,"Introduces techniques for developing solutions to business problems using procedural programming as an IT resource/tool. Students apply problem solving concepts by analyzing problems and constructing, testing, and implementing algorithms using pseudocode, desk checking, and procedural programming. Topics include: program flow, control structures, programming fundamentals, and integrating program modules into a cohesive solution. Offered by Info Sciences & Technology. Limited to two attempts.",IT
12,MATH 108,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+108,"Functions, limits, derivative, and integral. Applications of differentiation and integration. Notes: Call Mathematical Sciences Department at 703-993-1460 for details. Students who have received credit for MATH 113 or 114 may not receive credit for this course. Offered by Mathematics. May not be repeated for credit.",MATH
13,STAT 250,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+250,"Elementary introduction to statistics. Topics include descriptive statistics, probability, and estimation and hypothesis testing for means and proportions. Statistical software used for assignments. Offered by Statistics. May not be repeated for credit.",STAT
14,AIT 524,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+524,Relational database management systems. Covers logical and physical database design; query languages and database programming; and examines commercial systems. Computing lab. Notes: This course does not count towards MS programs offered in the Computer Science Department and cannot be used to satisfy course requirements for PhD IT students. Offered by Info Sciences & Technology. May not be repeated for credit. Equivalent to INFS 524.,AIT
15,AIT 582,http://catalog.gmu.edu/search/?scontext=courses&search=AIT+582,"Course explores technical and analytical issues, solutions and gaps in processing large volumes of data by leveraging metadata. The goal is to find ""facts of interest"" (Intelligence) that represent threats to, or even opportunities for, a given industry or domain (e.g., healthcare, finance or national intelligence/national defense) where there is limited time. Notes: Course may be used in other Certificate or Degree programs. Offered by Info Sciences & Technology. May not be repeated for credit.",AIT
